Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
36000	43	25	0	6	1	0	0	61730	0	0	0	39562	0	39215	0	69163	30	91039	0	99674	32248
36250	56	17	0	2	0	0	1	64043	1	0	0	40080	0	41237	115	66398	7	91050	0	92824	32431
36500	39	30	0	0	0	0	0	61909	1	0	0	40602	2	39657	0	66455	0	91503	0	93342	32779
36750	54	22	0	6	1	1	0	63651	3	3	0	40805	0	40856	0	77008	7	91166	0	93925	32913
37000	53	27	0	0	0	5	1	63963	2	2	0	40849	1	41395	0	67086	48	91553	0	101194	33181
37250	137	27	0	0	1	0	2	64322	23	1	0	41008	0	41823	0	68939	48	92070	0	92828	33324
37500	49	33	0	9	6	32	0	117802	10	9	0	41347	2	46022	1	76762	11	93323	1	93105	33890
37750	56	30	0	102	106	105	0	75087	0	0	0	41716	19	43042	0	68038	0	94608	1	108327	34028
38000	50	53	0	0	0	0	0	86134	6	0	0	41874	0	43611	0	66954	7	94282	0	116479	34034
38250	53	154	0	1	1	5	18	64969	1	0	0	42333	0	43689	0	72999	30	95536	0	99071	34394
38500	45	29	0	18	0	0	15	64568	2	0	0	42475	1	43838	0	68651	1	95529	0	107562	41540
38750	142	29	0	0	0	0	49	65380	91	1	0	42805	0	44535	0	68175	8	95977	0	109376	34874
39000	37	33	0	3	1	0	1	65543	3	204	0	43747	1	44628	0	68366	0	96615	0	98356	34929
39250	48	37	0	7	0	0	0	67313	1	0	0	44547	0	45097	0	72459	7	103812	0	106175	35236
39500	55	28	0	0	0	1	0	66999	2	1	0	43608	0	45206	0	72927	0	99215	0	109603	36318
39750	51	36	0	105	87	1	1	66914	0	1	0	44563	90	49255	1	70410	1	104122	0	103261	35875
40000	101	32	0	21	53	4	0	67741	54	0	0	45642	59	45777	0	71423	54	103039	1	102814	37915
40250	138	36	1	2	0	0	0	68403	2	0	0	45703	0	47070	3	76698	27	104047	0	100397	36264
40500	54	28	0	0	0	0	0	72103	94	0	0	50775	0	45343	0	80053	48	116204	0	105752	39214
40750	52	38	0	1	0	0	0	77045	2	1	0	46922	0	45655	1	94923	6	125240	0	107818	36774
41000	65	49	0	13	1	1	0	73161	6	0	0	47546	1	45966	0	78823	1649	108349	0	115800	37571
41250	63	49	0	1	0	0	0	72326	2	0	0	48943	1	46448	0	74550	6	106161	0	105133	38007
41500	55	33	0	0	0	0	0	71089	5	0	0	49742	0	46818	0	95220	6	107501	0	112927	37288
41750	153	38	0	106	94	118	0	72537	2	1	0	47690	92	47621	0	85631	8	111593	0	106456	37693
42000	65	45	0	1	2	0	1	71204	5	0	0	47731	1	47787	0	76485	57	107156	0	114174	42182
42250	66	53	0	4	9	2	103	72626	97	3	0	48314	10	46467	1	77545	35	106143	1	109183	50734
42500	57	32	0	0	0	0	0	72286	5	0	0	48523	0	46641	0	77697	0	108888	0	115790	38829
42750	70	40	0	1	0	6	0	76944	5	0	0	49180	0	48169	0	77203	1	108525	0	113508	39284
43000	67	51	1	0	0	0	0	72791	6	1	0	49163	0	47769	0	78202	6	108429	0	114848	38585
43250	159	52	0	1	2	0	1	81047	2	0	0	49422	11	48283	0	84942	0	109596	0	109824	39303
43500	69	47	0	0	1	0	0	79432	8	0	0	49527	3	48852	0	105764	6	113424	0	138269	39570
43750	58	39	0	109	52	0	0	83620	97	0	0	52857	111	48362	0	78316	0	110052	0	156007	39394
44000	58	48	0	1	1	0	0	76915	4	0	0	52499	1	48474	1	102050	1	119683	1	130404	40334
44250	86	51	0	9	3	3	0	102553	3	1	0	49083	0	49190	57	80233	38	111129	0	123219	39877
44500	64	133	0	2	0	0	0	86068	10	0	0	53731	2	49291	0	79683	0	111069	0	115818	40265
44750	230	56	0	4	1	0	0	85226	2	0	0	51529	0	50229	0	80745	7	111358	0	127345	40513
45000	95	57	0	4	3	0	1	78734	5	0	0	63163	0	49908	0	81213	49	112456	0	127185	42225
45250	77	57	1	7	6	0	0	79267	1	0	0	57186	0	63501	0	81260	1	113921	0	123169	42395
45500	91	55	0	2	9	0	0	79134	93	1	0	57537	0	65166	0	82941	7	116013	0	124482	44368
45750	85	67	0	2	7	0	0	81407	6	4	0	56387	0	52334	1	84276	0	116192	0	155146	42455
46000	92	67	0	104	155	9	0	83867	4	0	0	55307	90	52758	0	137082	7	121907	1	138877	45336
46250	177	48	0	3	6	0	7	88841	7	1	0	54343	0	53333	0	149805	37	116066	0	130786	41911
46500	95	62	0	8	1	0	4	104681	2	28	0	57448	1	78225	0	139642	0	125335	0	124182	42216
