Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
91250	126	180	0	0	6	0	1	613565	19	7	0	743729	2	647750	0	549552	90	270674	0	280294	149952
91500	240	199	0	2	2	0	0	582126	219	0	0	746022	0	669780	0	556307	8	270130	0	279684	145113
91750	116	192	0	1	1	0	0	591830	19	2	0	716972	0	704337	0	541268	6	298255	0	272260	146292
92000	110	197	0	1	1	0	0	578381	12	4	0	745393	1	647781	0	534289	6	284694	0	271578	162865
92250	106	181	0	98	94	0	0	586087	8	4	0	747955	109	674347	0	569947	7012	283575	0	272106	149246
92500	122	175	0	1	0	0	0	616709	14	5	0	702862	2	650985	3	566983	13	272263	0	287809	150196
92750	110	172	0	3	0	0	0	595428	17	1	0	735195	2	677897	0	563265	71	293678	0	273237	167443
93000	220	174	0	0	0	0	0	545008	7	3	0	728589	0	764798	0	557365	12	276171	0	275828	149732
93250	126	191	0	0	1	0	0	598924	212	4	0	711950	1	652280	0	529393	36	274550	0	275902	152227
93500	110	186	0	0	2	0	0	632890	13	3	0	820183	1	696470	0	561518	7	277361	0	296118	150565
93750	119	195	0	0	0	0	0	763752	13	7	0	833429	2	693816	1	543351	8	290698	0	292072	150158
94000	124	200	0	1	2	0	0	602729	49	0	0	869044	2	679447	0	572134	7	278291	0	285620	152785
94250	130	217	0	102	106	2	0	585813	11	1	0	900133	109	706022	0	546909	8	277829	0	291602	157289
94500	244	200	0	1	1	0	1	620971	2	4	0	778135	3	735138	0	584247	6	280515	0	301219	166731
94750	132	194	0	4	3	0	3	593309	209	5	0	788645	2	712356	0	559806	12	301791	0	360039	154008
95000	127	194	0	0	1	0	0	630230	16	6	0	817419	3	717143	0	562315	8	300359	0	410300	155892
95250	97	192	0	0	0	0	0	692837	15	2	0	812385	1	758719	0	563795	35	286762	0	299443	169429
95500	103	201	0	3	11	0	0	1116249	15	5	0	761514	0	701341	0	580487	6	364943	0	289938	154890
95750	117	190	0	2	1	0	0	576015	9	4	0	822489	2	715306	0	564311	8	326208	0	296452	155783
96000	280	203	0	3	0	0	1	573732	13	3	0	857447	4	734192	2	619869	6	303288	0	284026	169433
96250	112	175	0	101	98	0	0	623911	8	5	0	832761	104	719678	0	572159	55	293036	0	282304	159193
96500	115	183	0	1	3	0	0	579311	194	6	0	860792	3	761329	0	597826	9	331681	0	281553	158337
96750	113	185	0	3	0	0	0	576452	14	8	0	812584	2	735888	0	599236	9	389308	0	308608	158812
97000	119	179	0	3	1	0	0	549172	12	0	0	925127	2	747201	0	573264	7	317681	0	348860	158450
97250	119	201	0	1	1	0	0	559399	11	3	0	957302	3	729209	2	592667	36	310319	0	287796	158159
97500	285	184	0	3	0	0	0	558949	15	5	0	1043753	1	778057	0	572391	8	347787	0	288116	159530
97750	119	205	0	2	0	0	0	563043	8	7	0	929257	2	760421	0	675822	6	399356	0	281474	177215
98000	108	207	0	2	0	0	1	562108	15	7	0	949330	2	742758	0	633208	7	354896	0	316465	162095
98250	113	197	0	105	96	3	0	567990	104	4	0	973107	103	807886	0	643024	6	387898	0	285228	165653
98500	113	193	0	1	2	0	0	581100	14	4	0	983680	1	779439	0	604136	6	318004	0	318663	161351
98750	109	204	0	2	2	0	0	568690	39	3	0	892188	2	811286	0	596557	9	305661	0	339309	161797
99000	314	189	0	4	0	0	0	569552	14	4	0	785512	2	780061	0	611864	6	296796	0	382259	162062
99250	117	190	0	3	2	0	1	571710	7	6	0	924047	3	789841	0	588718	40	297584	0	319105	177363
99500	111	195	0	0	2	0	0	597127	10	5	0	827167	1	797962	0	628417	6	308955	0	373040	168378
99750	120	193	0	3	4	0	1	613885	111	6	0	829302	3	879292	2	611947	7	300498	0	295771	171958
100000	114	173	0	10	0	0	0	633297	9	3	0	878123	4	991399	0	604030	9	302858	0	295965	174761
100250	224	188	0	4	102	0	0	672723	29	3	0	832352	124	907868	0	647374	53	302196	2	295797	165900
100500	267	198	0	101	2	0	0	609857	10	5	0	851391	0	834068	0	609556	60	312543	0	307283	167133
100750	149	197	0	1	1	0	0	604280	38	4	0	839169	3	986546	0	623599	9	303075	0	292326	179807
101000	132	198	0	0	1	0	0	590792	14	5	0	841096	2	1040843	0	637797	7	314236	0	291728	170871
101250	119	199	0	2	1	0	0	592879	12	7	0	891702	0	1155032	1	621470	83	317342	0	303819	170225
101500	110	226	0	1	0	0	0	594181	110	5	0	844725	1	887689	10	640813	7	311392	0	294081	168990
101750	117	211	0	3	2	0	0	599277	17	6	0	847223	0	855658	0	622874	6	340115	0	293899	169736
102000	210	207	0	2	1	0	0	634186	16	9	0	875917	1	914799	0	633854	6	325124	0	296323	170440
102250	119	210	0	2	22	0	0	596511	16	2	0	906373	103	835685	1	633231	10	338799	0	322689	179338
102500	144	210	0	110	124	0	0	612539	13	1	0	860169	8	848035	1	649803	30	398747	0	300970	179350
102750	109	218	0	1	3	0	0	611690	7	0	0	842766	1	839183	0	654703	63	328528	0	306567	171944
103000	97	210	0	30	0	0	0	621567	112	14	0	897097	1	853940	0	644092	8	334045	0	312891	174467
103250	152	214	0	51	53	0	1	615087	65	34	0	867240	18	850574	0	659943	85	326388	0	366122	174314
103500	230	223	0	2	1	0	0	639186	12	2	0	869912	2	861002	0	637092	7	325249	0	357367	173861
103750	105	231	0	2	1	0	0	619366	20	7	0	965611	3	833754	0	651906	8	341291	0	393382	182411
104000	187	239	0	0	2	0	0	637768	15	15	0	867610	2	897157	0	706196	9	328834	0	337394	181828
104250	2	8	0	0	0	0	1	7303	0	3	0	10328	0	17677	1	8313	0	3861	0	5360	2123

